<01/16/13> <11:35:08> start logging
<01/16/13> <11:35:08> WindowManager aangemaakt
<01/16/13> <11:35:08> Window aangemaakt
<01/16/13> <11:35:08> Showing window 
<01/16/13> <11:35:13> Model al ingeladen
<01/16/13> <11:35:13> Texture al ingeladen
<01/16/13> <11:35:13> Model al ingeladen
<01/16/13> <11:35:13> Texture al ingeladen
<01/16/13> <11:35:13> Model al ingeladen
<01/16/13> <11:35:13> Texture al ingeladen
<01/16/13> <11:35:13> Model al ingeladen
<01/16/13> <11:35:13> Texture al ingeladen
<01/16/13> <11:35:13> Model al ingeladen
<01/16/13> <11:35:13> Texture al ingeladen
<01/16/13> <11:35:13> Model al ingeladen
<01/16/13> <11:35:13> Texture al ingeladen
<01/16/13> <11:35:13> Model al ingeladen
<01/16/13> <11:35:13> Texture al ingeladen
<01/16/13> <11:35:13> Model al ingeladen
<01/16/13> <11:35:13> Texture al ingeladen
<01/16/13> <11:35:13> Model al ingeladen
<01/16/13> <11:35:13> Texture al ingeladen
<01/16/13> <11:35:13> Model al ingeladen
<01/16/13> <11:35:13> Texture al ingeladen
<01/16/13> <11:35:13> Model al ingeladen
<01/16/13> <11:35:13> Texture al ingeladen
<01/16/13> <11:35:13> Model al ingeladen
<01/16/13> <11:35:13> Texture al ingeladen
<01/16/13> <11:35:13> Model al ingeladen
<01/16/13> <11:35:13> Texture al ingeladen
<01/16/13> <11:35:13> Model al ingeladen
<01/16/13> <11:35:13> Texture al ingeladen
<01/16/13> <11:35:13> Model al ingeladen
<01/16/13> <11:35:13> Texture al ingeladen
<01/16/13> <11:35:13> Model al ingeladen
<01/16/13> <11:35:13> Texture al ingeladen
<01/16/13> <11:35:13> Model al ingeladen
<01/16/13> <11:35:13> Texture al ingeladen
<01/16/13> <11:35:13> Model al ingeladen
<01/16/13> <11:35:13> Texture al ingeladen
<01/16/13> <11:35:13> Model al ingeladen
<01/16/13> <11:35:13> Texture al ingeladen
<01/16/13> <11:35:13> Model al ingeladen
<01/16/13> <11:35:13> Texture al ingeladen
<01/16/13> <11:35:13> Model al ingeladen
<01/16/13> <11:35:13> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
<01/16/13> <11:35:14> Model al ingeladen
<01/16/13> <11:35:14> Texture al ingeladen
